sen_id,tpsf_id,sen_pos_in_text,sen_text
146655746121049539015261122300524932228,31,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se frz|"
146655746121049539015261122300524932228,32,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fr|"
146655746121049539015261122300524932228,33,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper commr|"
146655746121049539015261122300524932228,34,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comm|"
146655746121049539015261122300524932228,35,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoie|"
146655746121049539015261122300524932228,36,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoi|"
146655746121049539015261122300524932228,37,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|"
146655746121049539015261122300524932228,38,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça' il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|"
146655746121049539015261122300524932228,39,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|"
146655746121049539015261122300524932228,40,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça, il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|"
146655746121049539015261122300524932228,41,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça, il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie, car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|"
146655746121049539015261122300524932228,42,1,"|Ce que je pense de la violence c'est que au lieu de se batre pour une insulte ou une bagarre , il faut aller le dire au pion comme ça, il sera punie mais pas vous alors que si vous vous bagarrer vous aller vous aussi etre punie, car vous étent en tor et sa peut aussi agraver la situation car vous aller avoir des problème.|"

146660325508842863493974029140854353028,42,2,|donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|
146660325508842863493974029140854353028,43,2,|onc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|
146660325508842863493974029140854353028,44,2,|Donc il faut aller le dire au lieu de se fraper comme l'histoire de Ninpo et Issam .|
146660325508842863493974029140854353028,45,2,|Donc il faut aller le dire au lieu de se fraper comme l'histoire de Nino et Issam .|

